
"Bielsko-Biała, ul. Karpacka 146 - kościół katolicki [SLK:BT20373:L1800]"
"Bielsko-Biała, ul. Międzyrzecka 230 - maszt Plusa [SLK:BT24598:L1800]"
"Bycina, maszt Plusa [SLK:BT24494:L1800]"
"Bytom, ul. Chorzowska 86 - pylon reklamowy Tesco [SLK:BT24768:L1800]"
"Bytom, ul. Ks. Karola Koziołka 3 - kościół [SLK:BT24830:L1800]"
"Chorzów, ul. Bożogrobców 31 - wieża kościoła rzym.-kat. p.w. św. Józefa [SLK:BT22946:L1800]"
"Chorzów, ul. Bożogrobców 31 - wieża kościoła rzym.-kat. p.w. św. Józefa [SLK:BT22946:L1800]"
"Chorzów, ul. Powstańców 13 - Kościół ewangelicko-augsburski [SLK:BT22619:L1800]"
"Jankowice, ul. Borowikowa - maszt Plusa [SLK:BT24305:L1800]"
"Kalety, Miotek - maszt Plusa [SLK:BT24422:L1800]"
"Katowice, Rynek 12 - D.H. Zenit [SLK:BT20859:L1800]"
"Katowice, ul. 1. Maja 52 - kościół [SLK:BT20746:L1800]"
"Siemianowice Śląskie, ul. Wróblewskiego 75 - wieża Emitel - SLR Bytków [SLK:BT22025:L1800]"
"Katowice, ul. Kosmiczna 60 - KWK Wieczorek Szyb Rozdzień [SLK:BT24394:L1800]"
"Katowice, ul. Kościuszki 289 - maszt na budynku PSP [SLK:BT22016:L1800]"
"Kobielice, ul. Rolna 4 - maszt Plusa [SLK:BT22144:L1800]"
"Koszęcin, ul. Powstańców Śląskich 15 - kościół [SLK:BT22490:L1800]"
"Krzepice, ul. Kazimierza Wielkiego 1 - wieża kościoła [SLK:BT20106:L1800]"
"Lgota Nadwarcie, Lgota Górna 56 - maszt [SLK:BT22585:L1800]"
"Lubomia, ul. Pogrzebieńska 2 - wieża kościoła [SLK:BT24220:L900]"
"Mikołów, ul. Fitelberga - maszt P4 [SLK:BT26965:L1800]"
"Mysłowice, ul. Fabryczna 7 - wieża telekomunikacyjna [SLK:BT24149:L1800]"
"Palowice, ul. Wiejska - maszt Plusa [SLK:BT24558:L1800]"
"Pszczyna, ul. Górnośląska 11 - komin - teren Patentus [SLK:BT20571:L1800]"
"Pszczyna, ul. Myśliwska 9 - maszt Plusa [SLK:BT24577:L1800]"
"Rogów, ul. Raciborska 40 - wieża kościoła [SLK:BT24365:L900]"
"Ruda Śląska, ul. Piastowska 16 - wieża kościoła p.w. Św. Jacka [SLK:BT20635:L1800]"
"Ruda Śląska, ul. Niedurnego 38c - budynek mieszkalno-usługowy [SLK:BT20765:L1800]"
"Sarnów, ul. Spacerowa - maszt Plusa [SLK:BT24153:L1800]"
"Skrajniwa, maszt Plusa na wzniesieniu [SLK:BT24122:L900]"
"Sosnowiec, ul. Armii Krajowej 77 - kościół [SLK:BT22715:L1800]"
"Sosnowiec, ul. St. Jędryczki - słup energetyczny [SLK:BT22531:L1800]"
"Świętochłowice, ul. Kubiny 10 - wieża kościoła [SLK:BT24971:L1800]"
"Świętochłowice, ul. Kubiny 10 - wieża kościoła [SLK:BT24971:L1800]"
"Tarnowskie Góry, Rynek 11 - wieża kościoła [SLK:BT22645:L1800]"
", [SLK::L1800]"
", [SLK::L1800]"
"Ustroń, ul. Cieszyńska 49 - maszt własny przy SKP [SLK:BT20623:L2600]"
"Warszowice, ul. Cieszyńska 2 - maszt Plusa [SLK:BT24600:L1800]"
"Wisła, os. Skolnity 10 - maszt Plusa na wzgórzu nad miastem [SLK:BT22118:L1800]"
"Zabrze, ul. Roosevelta 81 - stadion Górnik Zabrze SSA [SLK:BT20576:L1800]"
"Zawady, Zawady 14a - maszt własny [SLK:BT24613:L1800]"
"Żory, ul. Boryńska 45 - kościół św. Stanisława [SLK:BT24559:L1800]"
"Żywiec, ul. Kabaty 4 - komin ciepłowni [SLK:BT22128:L1800]"
", [SLK::L900]"
", [SLK::L900]"
", [SLK::L900]"
", [SLK::L1800]"
", [SLK::L1800]"
", [SLK::L1800]"
"Katowice, ul. Bogucicka 5 - dach budynku Uniwersytetu Ekonomicznego [SLK:BT26134:L1800]"
"Aleksandria Druga, ul. Miodowa - maszt Plusa [SLK:BT24410:L900]"
"Będzin, ul. 11 Listopada 11 - maszt na budynku mieszkalnym [SLK:BT26012:L1800]"
"Będzin, ul. 9 Maja 7a - blok (12 p.) [SLK:BT20657:L1800]"
"Będzin, ul. Barlickiego - komin starej cegielni [SLK:BT24374:L1800]"
"Będzin, ul. Bursztynowa 2b - warsztat samochodowy Drek-Pol sp. z o.o. [SLK:BT22647:L1800]"
"Będzin, ul. Małachowskiego 7 [SLK:BT22587:L1800]"
"Będzin, ul. Małobądzka 141 - komin elektrociepłowni Będzin [SLK:BT22032:L1800]"
"Będzin, ul. Nowotki 28 - remiza OSP Grodziec [SLK:BT20675:L1800]"
"Będzin, ul. Promyka 32 [SLK:BT24960:L1800]"
"Będzin, ul. Siemońska 25 - maszt Plusa przy torach kolejowych [SLK:BT22889:L1800]"
"Będzin, ul. Siemońska 4 - dach bloku mieszkalnego [SLK:BT20852:L1800]"
"Bielsko-Biała, al. gen. Andersa 545 - pylon reklamowy Makro [SLK:BT22390:L1800]"
"Bielsko-Biała, ul. 1 Maja 26 - dach budynku przemysłowego [SLK:BT22959:L1800]"
"Bielsko-Biała, ul. 11 Listopada 34 - kamienica (elewacja) [SLK:BT22702:L1800]"
"Bielsko-Biała, ul. Cieszyńska 259 - maszt Plusa [SLK:BT24227:L1800]"
"Bielsko-Biała, ul. Cieszyńska 79 - dach budynku TP S.A. [SLK:BT20638:L1800]"
"Bielsko-Biała, ul. Grażyńskiego 141 - Fiat-GM Powertrain - dach budynku [SLK:BT20640:L1800]"
"Bielsko-Biała, ul. Karpacka 146 - kościół katolicki [SLK:BT20373:L1800]"
"Bielsko-Biała, ul. Komorowicka 285 - maszt na budynku obok stacji paliw [SLK:BT20020:L1800]"
"Bielsko-Biała, ul. Krakowska - wieża PTK Centertel [SLK:BT20644:L1800]"
